"","Instrument","CF_NAME","CF_BID","CF_DATE","GEN_TEXT16","ROW80_1","ROW80_2","GN_TXT16_2","GN_TXT16_4","ROW80_3","Location"
"399","CORNCECFBR-U","CORN MOFBR SEP20",NA,NA,"CE Grain Co     ","CE Grain Co                                                                     ","3880 Audrain Road 541                                                           ","Farber          ","Corn            ","""Farber, MO - 63345.  Phone - 573-2494-100""                                     ","CORN MO Farber  "
"400","CORNCECFBR-V","CORN MOFBR OCT20","-0.3","2020-02-27","CE Grain Co     ","CE Grain Co                                                                     ","Farber, MO - 63345                                                              ","Farber          ","Corn            ","""Farber, MO - 63345.  Phone - 573-2494-100""                                     ","CORN MO Farber  "
"401","CORNCECFBR-X","CORN MOFBR NOV20","-0.2","2020-02-27","CE Grain Co     ","CE Grain Co                                                                     ","3880 Audrain Road 541                                                           ","Farber          ","Corn            ","""Farber, MO - 63345.  Phone - 573-2494-100""                                     ","CORN MO Farber  "
"402","CORNCECFBR-Z","CORN MOFBR DEC20","-0.1","2020-02-27","CE Grain Co     ","CE Grain Co                                                                     ","3880 Audrain Road 541                                                           ","Farber          ","Corn            ","""Farber, MO - 63345.  Phone - 573-2494-100""                                     ","CORN MO Farber  "
"403","CORNCECFBR-F","CORN MOFBR JAN21","-0.15","2020-02-27","CE Grain Co     ","CE Grain Co                                                                     ","3880 Audrain Road 541                                                           ","Farber          ","Corn            ","""Farber, MO - 63345.  Phone - 573-2494-100""                                     ","CORN MO Farber  "
"404","CORNMFAFYT-C1","CORN MOFYT SPOT ","0","2020-02-27","MFA             ","MFA                                                                             ","111 Armstrong St                                                                ","Fayette         ","Corn            ","""Fayette, MO - 65248.  Phone - 660-2483-303""                                    ","CORN MO Fayette "
"405","CORNMFAFYT-G","CORN MOFYT FEB20","0","2020-02-27","MFA             ","MFA                                                                             ","111 Armstrong St                                                                ","Fayette         ","Corn            ","""Fayette, MO - 65248.  Phone - 660-2483-303""                                    ","CORN MO Fayette "
"406","CORNMFAFYT-H","CORN MOFYT MAR20",NA,NA,"MFA             ","MFA                                                                             ","111 Armstrong St                                                                ","Fayette         ","Corn            ","""Fayette, MO - 65248.  Phone - 660-2483-303""                                    ","CORN MO Fayette "
"407","CORNMFAFYT-J","CORN MOFYT APR20",NA,NA,"MFA             ","MFA                                                                             ","111 Armstrong St                                                                ","Fayette         ","Corn            ","""Fayette, MO - 65248.  Phone - 660-2483-303""                                    ","CORN MO Fayette "
"408","CORNMFAFYT-K","CORN MOFYT MAY20",NA,NA,"MFA             ","MFA                                                                             ","111 Armstrong St                                                                ","Fayette         ","Corn            ","""Fayette, MO - 65248.  Phone - 660-2483-303""                                    ","CORN MO Fayette "
"409","CORNMFAFYT-M","CORN MOFYT JUN20",NA,NA,"MFA             ","MFA                                                                             ","111 Armstrong St                                                                ","Fayette         ","Corn            ","""Fayette, MO - 65248.  Phone - 660-2483-303""                                    ","CORN MO Fayette "
"410","CORNMFAFYT-N","CORN MOFYT JUL20",NA,NA,"MFA             ","MFA                                                                             ","111 Armstrong St                                                                ","Fayette         ","Corn            ","""Fayette, MO - 65248.  Phone - 660-2483-303""                                    ","CORN MO Fayette "
"411","CORNMFAFYT-Q","CORN MOFYT AUG20",NA,NA,"MFA             ","MFA                                                                             ","111 Armstrong St                                                                ","Fayette         ","Corn            ","""Fayette, MO - 65248.  Phone - 660-2483-303""                                    ","CORN MO Fayette "
"412","CORNMFAFYT-U","CORN MOFYT SEP20",NA,NA,"MFA             ","MFA                                                                             ","111 Armstrong St                                                                ","Fayette         ","Corn            ","""Fayette, MO - 65248.  Phone - 660-2483-303""                                    ","CORN MO Fayette "
"413","CORNMFAFYT-V","CORN MOFYT OCT20","-0.35","2020-02-27","MFA             ","MFA                                                                             ","111 Armstrong St                                                                ","Fayette         ","Corn            ","""Fayette, MO - 65248.  Phone - 660-2483-303""                                    ","CORN MO Fayette "
"414","CORNMFAFYT-X","CORN MOFYT NOV20",NA,NA,"MFA             ","MFA                                                                             ","111 Armstrong St                                                                ","Fayette         ","Corn            ","""Fayette, MO - 65248.  Phone - 660-2483-303""                                    ","CORN MO Fayette "
"415","CORNMFAFYT-Z","CORN MOFYT DEC20",NA,NA,"MFA             ","MFA                                                                             ","111 Armstrong St                                                                ","Fayette         ","Corn            ","""Fayette, MO - 65248.  Phone - 660-2483-303""                                    ","CORN MO Fayette "
"416","CORNMFAFYT-F","CORN MOFYT JAN21",NA,NA,"MFA             ","MFA                                                                             ","111 Armstrong St                                                                ","Fayette         ","Corn            ","""Fayette, MO - 65248.  Phone - 660-2483-303""                                    ","CORN MO Fayette "
"417","CORNCRGFRC-C1","CORN MOFRC SPOT ","-0.2","2020-02-27","Cargill         ","Cargill                                                                         ","26949 Holt 290 Rd                                                               ","Forest City     ","Corn            ","""Forest City, MO - 64451.  Phone - 660-4463-311""                                ","CORN MO ForestCt"
"418","CORNCRGFRC-G","CORN MOFRC FEB20","-0.2","2020-02-27","Cargill         ","Cargill                                                                         ","26949 Holt 290 Rd                                                               ","Forest City     ","Corn            ","""Forest City, MO - 64451.  Phone - 660-4463-311""                                ","CORN MO ForestCt"
"419","CORNCRGFRC-H","CORN MOFRC MAR20","-0.2","2020-02-27","Cargill         ","Cargill                                                                         ","26949 Holt 290 Rd                                                               ","Forest City     ","Corn            ","""Forest City, MO - 64451.  Phone - 660-4463-311""                                ","CORN MO ForestCt"
"420","CORNCRGFRC-J","CORN MOFRC APR20","-0.27","2020-02-27","Cargill         ","Cargill                                                                         ","26949 Holt 290 Rd                                                               ","Forest City     ","Corn            ","""Forest City, MO - 64451.  Phone - 660-4463-311""                                ","CORN MO ForestCt"
"421","CORNCRGFRC-K","CORN MOFRC MAY20","-0.25","2020-02-27","Cargill         ","Cargill                                                                         ","26949 Holt 290 Rd                                                               ","Forest City     ","Corn            ","""Forest City, MO - 64451.  Phone - 660-4463-311""                                ","CORN MO ForestCt"
"422","CORNCRGFRC-M","CORN MOFRC JUN20","-0.25","2020-02-27","Cargill         ","Cargill                                                                         ","26949 Holt 290 Rd                                                               ","Forest City     ","Corn            ","""Forest City, MO - 64451.  Phone - 660-4463-311""                                ","CORN MO ForestCt"
"423","CORNCRGFRC-N","CORN MOFRC JUL20","-0.23","2020-02-27","Cargill         ","Cargill                                                                         ","26949 Holt 290 Rd                                                               ","Forest City     ","Corn            ","""Forest City, MO - 64451.  Phone - 660-4463-311""                                ","CORN MO ForestCt"
"424","CORNCRGFRC-Q","CORN MOFRC AUG20","-0.23","2020-02-27","Cargill         ","Cargill                                                                         ","26949 Holt 290 Rd                                                               ","Forest City     ","Corn            ","""Forest City, MO - 64451.  Phone - 660-4463-311""                                ","CORN MO ForestCt"
"425","CORNCRGFRC-U","CORN MOFRC SEP20",NA,NA,"Cargill         ","Cargill                                                                         ","26949 Holt 290 Rd                                                               ","Forest City     ","Corn            ","""Forest City, MO - 64451.  Phone - 660-4463-311""                                ","CORN MO ForestCt"
"426","CORNCRGFRC-V","CORN MOFRC OCT20","-0.35","2020-02-27","Cargill         ","Cargill                                                                         ","Forest City, MO - 64451                                                         ","Forest City     ","Corn            ","""Forest City, MO - 64451.  Phone - 660-4463-311""                                ","CORN MO ForestCt"
"427","CORNCRGFRC-X","CORN MOFRC NOV20",NA,NA,"Cargill         ","Cargill                                                                         ","26949 Holt 290 Rd                                                               ","Forest City     ","Corn            ","""Forest City, MO - 64451.  Phone - 660-4463-311""                                ","CORN MO ForestCt"
"428","CORNCRGFRC-Z","CORN MOFRC DEC20",NA,NA,"Cargill         ","Cargill                                                                         ","26949 Holt 290 Rd                                                               ","Forest City     ","Corn            ","""Forest City, MO - 64451.  Phone - 660-4463-311""                                ","CORN MO ForestCt"
"429","CORNCRGFRC-F","CORN MOFRC JAN21",NA,NA,"Cargill         ","Cargill                                                                         ","26949 Holt 290 Rd                                                               ","Forest City     ","Corn            ","""Forest City, MO - 64451.  Phone - 660-4463-311""                                ","CORN MO ForestCt"
"430","CORNHADGMC-C1","CORN MOGMC SPOT ",NA,NA,"Gage Fertilizer ","Gage Fertilizer and Grain                                                       ","151 Broadway Ave                                                                ","Gilman City     ","Corn            ","""Gilman City, MO - 64642.  Phone - 660-8765-812""                                ","CORN MO GilmanCi"
"431","CORNHADGMC-G","CORN MOGMC FEB20",NA,NA,"Gage Fertilizer ","Gage Fertilizer and Grain                                                       ","151 Broadway Ave                                                                ","Gilman City     ","Corn            ","""Gilman City, MO - 64642.  Phone - 660-8765-812""                                ","CORN MO GilmanCi"
"432","CORNHADGMC-H","CORN MOGMC MAR20",NA,NA,"Gage Fertilizer ","Gage Fertilizer and Grain                                                       ","151 Broadway Ave                                                                ","Gilman City     ","Corn            ","""Gilman City, MO - 64642.  Phone - 660-8765-812""                                ","CORN MO GilmanCi"
"433","CORNHADGMC-J","CORN MOGMC APR20",NA,NA,"Gage Fertilizer ","Gage Fertilizer and Grain                                                       ","151 Broadway Ave                                                                ","Gilman City     ","Corn            ","""Gilman City, MO - 64642.  Phone - 660-8765-812""                                ","CORN MO GilmanCi"
"434","CORNHADGMC-K","CORN MOGMC MAY20",NA,NA,"Gage Fertilizer ","Gage Fertilizer and Grain                                                       ","151 Broadway Ave                                                                ","Gilman City     ","Corn            ","""Gilman City, MO - 64642.  Phone - 660-8765-812""                                ","CORN MO GilmanCi"
"435","CORNHADGMC-M","CORN MOGMC JUN20",NA,NA,"Gage Fertilizer ","Gage Fertilizer and Grain                                                       ","151 Broadway Ave                                                                ","Gilman City     ","Corn            ","""Gilman City, MO - 64642.  Phone - 660-8765-812""                                ","CORN MO GilmanCi"
"436","CORNHADGMC-N","CORN MOGMC JUL20",NA,NA,"Gage Fertilizer ","Gage Fertilizer and Grain                                                       ","151 Broadway Ave                                                                ","Gilman City     ","Corn            ","""Gilman City, MO - 64642.  Phone - 660-8765-812""                                ","CORN MO GilmanCi"
"437","CORNHADGMC-Q","CORN MOGMC AUG20",NA,NA,"Gage Fertilizer ","Gage Fertilizer and Grain                                                       ","151 Broadway Ave                                                                ","Gilman City     ","Corn            ","""Gilman City, MO - 64642.  Phone - 660-8765-812""                                ","CORN MO GilmanCi"
"438","CORNHADGMC-U","CORN MOGMC SEP20",NA,NA,"Gage Fertilizer ","Gage Fertilizer and Grain                                                       ","151 Broadway Ave                                                                ","Gilman City     ","Corn            ","""Gilman City, MO - 64642.  Phone - 660-8765-812""                                ","CORN MO GilmanCi"
"439","CORNHADGMC-V","CORN MOGMC OCT20",NA,NA,"Gage Fertilizer ","Gage Fertilizer and Grain                                                       ","Gilman City, MO - 64642                                                         ","Gilman City     ","Corn            ","""Gilman City, MO - 64642.  Phone - 660-8765-812""                                ","CORN MO GilmanCi"
"440","CORNHADGMC-X","CORN MOGMC NOV20",NA,NA,"Gage Fertilizer ","Gage Fertilizer and Grain                                                       ","151 Broadway Ave                                                                ","Gilman City     ","Corn            ","""Gilman City, MO - 64642.  Phone - 660-8765-812""                                ","CORN MO GilmanCi"
"441","CORNHADGMC-Z","CORN MOGMC DEC20",NA,NA,"Gage Fertilizer ","Gage Fertilizer and Grain                                                       ","151 Broadway Ave                                                                ","Gilman City     ","Corn            ","""Gilman City, MO - 64642.  Phone - 660-8765-812""                                ","CORN MO GilmanCi"
"442","CORNHADGMC-F","CORN MOGMC JAN21",NA,NA,"Gage Fertilizer ","Gage Fertilizer and Grain                                                       ","151 Broadway Ave                                                                ","Gilman City     ","Corn            ","""Gilman City, MO - 64642.  Phone - 660-8765-812""                                ","CORN MO GilmanCi"
"443","CORNMFAGLG-C1","CORN MOGLG SPOT ","0","2020-02-27","MFA             ","MFA                                                                             ","102 2nd St                                                                      ","Glasgow         ","Corn            ","""Glasgow, MO - 65254.  Phone - 660-3382-248""                                    ","CORN MO Glasgow "
"444","CORNMFAGLG-G","CORN MOGLG FEB20","0","2020-02-27","MFA             ","MFA                                                                             ","102 2nd St                                                                      ","Glasgow         ","Corn            ","""Glasgow, MO - 65254.  Phone - 660-3382-248""                                    ","CORN MO Glasgow "
"445","CORNMFAGLG-H","CORN MOGLG MAR20",NA,NA,"MFA             ","MFA                                                                             ","102 2nd St                                                                      ","Glasgow         ","Corn            ","""Glasgow, MO - 65254.  Phone - 660-3382-248""                                    ","CORN MO Glasgow "
"446","CORNMFAGLG-J","CORN MOGLG APR20",NA,NA,"MFA             ","MFA                                                                             ","102 2nd St                                                                      ","Glasgow         ","Corn            ","""Glasgow, MO - 65254.  Phone - 660-3382-248""                                    ","CORN MO Glasgow "
"447","CORNMFAGLG-K","CORN MOGLG MAY20",NA,NA,"MFA             ","MFA                                                                             ","102 2nd St                                                                      ","Glasgow         ","Corn            ","""Glasgow, MO - 65254.  Phone - 660-3382-248""                                    ","CORN MO Glasgow "
"448","CORNMFAGLG-M","CORN MOGLG JUN20",NA,NA,"MFA             ","MFA                                                                             ","102 2nd St                                                                      ","Glasgow         ","Corn            ","""Glasgow, MO - 65254.  Phone - 660-3382-248""                                    ","CORN MO Glasgow "
"449","CORNMFAGLG-N","CORN MOGLG JUL20",NA,NA,"MFA             ","MFA                                                                             ","102 2nd St                                                                      ","Glasgow         ","Corn            ","""Glasgow, MO - 65254.  Phone - 660-3382-248""                                    ","CORN MO Glasgow "
"450","CORNMFAGLG-Q","CORN MOGLG AUG20",NA,NA,"MFA             ","MFA                                                                             ","102 2nd St                                                                      ","Glasgow         ","Corn            ","""Glasgow, MO - 65254.  Phone - 660-3382-248""                                    ","CORN MO Glasgow "
"451","CORNMFAGLG-U","CORN MOGLG SEP20",NA,NA,"MFA             ","MFA                                                                             ","102 2nd St                                                                      ","Glasgow         ","Corn            ","""Glasgow, MO - 65254.  Phone - 660-3382-248""                                    ","CORN MO Glasgow "
"452","CORNMFAGLG-V","CORN MOGLG OCT20","-0.35","2020-02-27","MFA             ","MFA                                                                             ","Glasgow, MO - 65254                                                             ","Glasgow         ","Corn            ","""Glasgow, MO - 65254.  Phone - 660-3382-248""                                    ","CORN MO Glasgow "
"453","CORNMFAGLG-X","CORN MOGLG NOV20",NA,NA,"MFA             ","MFA                                                                             ","102 2nd St                                                                      ","Glasgow         ","Corn            ","""Glasgow, MO - 65254.  Phone - 660-3382-248""                                    ","CORN MO Glasgow "
"454","CORNMFAGLG-Z","CORN MOGLG DEC20",NA,NA,"MFA             ","MFA                                                                             ","102 2nd St                                                                      ","Glasgow         ","Corn            ","""Glasgow, MO - 65254.  Phone - 660-3382-248""                                    ","CORN MO Glasgow "
"455","CORNMFAGLG-F","CORN MOGLG JAN21",NA,NA,"MFA             ","MFA                                                                             ","102 2nd St                                                                      ","Glasgow         ","Corn            ","""Glasgow, MO - 65254.  Phone - 660-3382-248""                                    ","CORN MO Glasgow "
"456","CORNLFEGOL-C1","CORN MOGOL SPOT ","0.04","2020-02-26","GoldenCity Grain","Golden City Grain & Cotton                                                      ","201 F Street                                                                    ","Golden City     ","Corn            ","""Golden City, MO - 64748.  Phone - 417-5374-214""                                ","CORN MO GoldenCi"
"457","CORNLFEGOL-G","CORN MOGOL FEB20","0.04","2020-02-26","GoldenCity Grain","Golden City Grain & Cotton                                                      ","201 F Street                                                                    ","Golden City     ","Corn            ","""Golden City, MO - 64748.  Phone - 417-5374-214""                                ","CORN MO GoldenCi"
"458","CORNLFEGOL-H","CORN MOGOL MAR20",NA,NA,"GoldenCity Grain","Golden City Grain & Cotton                                                      ","201 F Street                                                                    ","Golden City     ","Corn            ","""Golden City, MO - 64748.  Phone - 417-5374-214""                                ","CORN MO GoldenCi"
"459","CORNLFEGOL-J","CORN MOGOL APR20",NA,NA,"GoldenCity Grain","Golden City Grain & Cotton                                                      ","201 F Street                                                                    ","Golden City     ","Corn            ","""Golden City, MO - 64748.  Phone - 417-5374-214""                                ","CORN MO GoldenCi"
"460","CORNLFEGOL-K","CORN MOGOL MAY20",NA,NA,"GoldenCity Grain","Golden City Grain & Cotton                                                      ","201 F Street                                                                    ","Golden City     ","Corn            ","""Golden City, MO - 64748.  Phone - 417-5374-214""                                ","CORN MO GoldenCi"
"461","CORNLFEGOL-M","CORN MOGOL JUN20",NA,NA,"GoldenCity Grain","Golden City Grain & Cotton                                                      ","201 F Street                                                                    ","Golden City     ","Corn            ","""Golden City, MO - 64748.  Phone - 417-5374-214""                                ","CORN MO GoldenCi"
"462","CORNLFEGOL-N","CORN MOGOL JUL20",NA,NA,"GoldenCity Grain","Golden City Grain & Cotton                                                      ","201 F Street                                                                    ","Golden City     ","Corn            ","""Golden City, MO - 64748.  Phone - 417-5374-214""                                ","CORN MO GoldenCi"
"463","CORNLFEGOL-Q","CORN MOGOL AUG20",NA,NA,"GoldenCity Grain","Golden City Grain & Cotton                                                      ","201 F Street                                                                    ","Golden City     ","Corn            ","""Golden City, MO - 64748.  Phone - 417-5374-214""                                ","CORN MO GoldenCi"
"464","CORNLFEGOL-U","CORN MOGOL SEP20",NA,NA,"GoldenCity Grain","Golden City Grain & Cotton                                                      ","201 F Street                                                                    ","Golden City     ","Corn            ","""Golden City, MO - 64748.  Phone - 417-5374-214""                                ","CORN MO GoldenCi"
"465","CORNLFEGOL-V","CORN MOGOL OCT20",NA,NA,"GoldenCity Grain","Golden City Grain & Cotton                                                      ","201 F Street                                                                    ","Golden City     ","Corn            ","""Golden City, MO - 64748.  Phone - 417-5374-214""                                ","CORN MO GoldenCi"
"466","CORNLFEGOL-X","CORN MOGOL NOV20",NA,NA,"GoldenCity Grain","Golden City Grain & Cotton                                                      ","201 F Street                                                                    ","Golden City     ","Corn            ","""Golden City, MO - 64748.  Phone - 417-5374-214""                                ","CORN MO GoldenCi"
"467","CORNLFEGOL-Z","CORN MOGOL DEC20",NA,NA,"GoldenCity Grain","Golden City Grain & Cotton                                                      ","201 F Street                                                                    ","Golden City     ","Corn            ","""Golden City, MO - 64748.  Phone - 417-5374-214""                                ","CORN MO GoldenCi"
"468","CORNLFEGOL-F","CORN MOGOL JAN21",NA,NA,"GoldenCity Grain","Golden City Grain & Cotton                                                      ","201 F Street                                                                    ","Golden City     ","Corn            ","""Golden City, MO - 64748.  Phone - 417-5374-214""                                ","CORN MO GoldenCi"
"469","CORNRCGHAR-C1","CORN MOHAR SPOT ","0","2020-02-27","RayCarrollGrain ","Ray Carroll Grain                                                               ","202 E Main                                                                      ","Hardin          ","Corn            ","""Hardin, MO - 64035.  Phone - 660-3984-388""                                     ","CORN MO Hardin  "
"470","CORNRCGHAR-G","CORN MOHAR FEB20","0","2020-02-27","RayCarrollGrain ","Ray Carroll Grain                                                               ","202 E Main                                                                      ","Hardin          ","Corn            ","""Hardin, MO - 64035.  Phone - 660-3984-388""                                     ","CORN MO Hardin  "
"471","CORNRCGHAR-H","CORN MOHAR MAR20",NA,NA,"RayCarrollGrain ","Ray Carroll Grain                                                               ","202 E Main                                                                      ","Hardin          ","Corn            ","""Hardin, MO - 64035.  Phone - 660-3984-388""                                     ","CORN MO Hardin  "
"472","CORNRCGHAR-J","CORN MOHAR APR20",NA,NA,"RayCarrollGrain ","Ray Carroll Grain                                                               ","202 E Main                                                                      ","Hardin          ","Corn            ","""Hardin, MO - 64035.  Phone - 660-3984-388""                                     ","CORN MO Hardin  "
"473","CORNRCGHAR-K","CORN MOHAR MAY20",NA,NA,"RayCarrollGrain ","Ray Carroll Grain                                                               ","202 E Main                                                                      ","Hardin          ","Corn            ","""Hardin, MO - 64035.  Phone - 660-3984-388""                                     ","CORN MO Hardin  "
"474","CORNRCGHAR-M","CORN MOHAR JUN20",NA,NA,"RayCarrollGrain ","Ray Carroll Grain                                                               ","202 E Main                                                                      ","Hardin          ","Corn            ","""Hardin, MO - 64035.  Phone - 660-3984-388""                                     ","CORN MO Hardin  "
"475","CORNRCGHAR-N","CORN MOHAR JUL20",NA,NA,"RayCarrollGrain ","Ray Carroll Grain                                                               ","202 E Main                                                                      ","Hardin          ","Corn            ","""Hardin, MO - 64035.  Phone - 660-3984-388""                                     ","CORN MO Hardin  "
"476","CORNRCGHAR-Q","CORN MOHAR AUG20",NA,NA,"RayCarrollGrain ","Ray Carroll Grain                                                               ","202 E Main                                                                      ","Hardin          ","Corn            ","""Hardin, MO - 64035.  Phone - 660-3984-388""                                     ","CORN MO Hardin  "
"477","CORNRCGHAR-U","CORN MOHAR SEP20",NA,NA,"RayCarrollGrain ","Ray Carroll Grain                                                               ","202 E Main                                                                      ","Hardin          ","Corn            ","""Hardin, MO - 64035.  Phone - 660-3984-388""                                     ","CORN MO Hardin  "
"478","CORNRCGHAR-V","CORN MOHAR OCT20","-0.35","2020-02-27","RayCarrollGrain ","Ray Carroll Grain                                                               ","202 E Main                                                                      ","Hardin          ","Corn            ","""Hardin, MO - 64035.  Phone - 660-3984-388""                                     ","CORN MO Hardin  "
"479","CORNRCGHAR-X","CORN MOHAR NOV20",NA,NA,"RayCarrollGrain ","Ray Carroll Grain                                                               ","202 E Main                                                                      ","Hardin          ","Corn            ","""Hardin, MO - 64035.  Phone - 660-3984-388""                                     ","CORN MO Hardin  "
"480","CORNRCGHAR-Z","CORN MOHAR DEC20",NA,NA,"RayCarrollGrain ","Ray Carroll Grain                                                               ","202 E Main                                                                      ","Hardin          ","Corn            ","""Hardin, MO - 64035.  Phone - 660-3984-388""                                     ","CORN MO Hardin  "
"481","CORNRCGHAR-F","CORN MOHAR JAN21",NA,NA,"RayCarrollGrain ","Ray Carroll Grain                                                               ","202 E Main                                                                      ","Hardin          ","Corn            ","""Hardin, MO - 64035.  Phone - 660-3984-388""                                     ","CORN MO Hardin  "
"482","CORNSLCHRL-C1","CORN MOHRL SPOT ","0.16","2020-02-27","Scoular Grain   ","Scoular Grain                                                                   ","1209 Industrial Blvd                                                            ","Harrisonville   ","Corn            ","""Harrisonville, MO - 64701.  Phone - 816-3807-153""                              ","CORN MO Harrison"
"483","CORNSLCHRL-G","CORN MOHRL FEB20","0.16","2020-02-27","Scoular Grain   ","Scoular Grain                                                                   ","1209 Industrial Blvd                                                            ","Harrisonville   ","Corn            ","""Harrisonville, MO - 64701.  Phone - 816-3807-153""                              ","CORN MO Harrison"
"484","CORNSLCHRL-H","CORN MOHRL MAR20",NA,NA,"Scoular Grain   ","Scoular Grain                                                                   ","1209 Industrial Blvd                                                            ","Harrisonville   ","Corn            ","""Harrisonville, MO - 64701.  Phone - 816-3807-153""                              ","CORN MO Harrison"
"485","CORNSLCHRL-J","CORN MOHRL APR20",NA,NA,"Scoular Grain   ","Scoular Grain                                                                   ","1209 Industrial Blvd                                                            ","Harrisonville   ","Corn            ","""Harrisonville, MO - 64701.  Phone - 816-3807-153""                              ","CORN MO Harrison"
"486","CORNSLCHRL-K","CORN MOHRL MAY20",NA,NA,"Scoular Grain   ","Scoular Grain                                                                   ","1209 Industrial Blvd                                                            ","Harrisonville   ","Corn            ","""Harrisonville, MO - 64701.  Phone - 816-3807-153""                              ","CORN MO Harrison"
"487","CORNSLCHRL-M","CORN MOHRL JUN20",NA,NA,"Scoular Grain   ","Scoular Grain                                                                   ","1209 Industrial Blvd                                                            ","Harrisonville   ","Corn            ","""Harrisonville, MO - 64701.  Phone - 816-3807-153""                              ","CORN MO Harrison"
"488","CORNSLCHRL-N","CORN MOHRL JUL20",NA,NA,"Scoular Grain   ","Scoular Grain                                                                   ","1209 Industrial Blvd                                                            ","Harrisonville   ","Corn            ","""Harrisonville, MO - 64701.  Phone - 816-3807-153""                              ","CORN MO Harrison"
"489","CORNSLCHRL-Q","CORN MOHRL AUG20",NA,NA,"Scoular Grain   ","Scoular Grain                                                                   ","1209 Industrial Blvd                                                            ","Harrisonville   ","Corn            ","""Harrisonville, MO - 64701.  Phone - 816-3807-153""                              ","CORN MO Harrison"
"490","CORNSLCHRL-U","CORN MOHRL SEP20","-0.2","2020-02-27","Scoular Grain   ","Scoular Grain                                                                   ","Harrisonville, MO - 64701                                                       ","Harrisonville   ","Corn            ","""Harrisonville, MO - 64701.  Phone - 816-3807-153""                              ","CORN MO Harrison"
"491","CORNSLCHRL-V","CORN MOHRL OCT20","-0.25","2020-02-27","Scoular Grain   ","Scoular Grain                                                                   ","1209 Industrial Blvd                                                            ","Harrisonville   ","Corn            ","""Harrisonville, MO - 64701.  Phone - 816-3807-153""                              ","CORN MO Harrison"
"492","CORNSLCHRL-X","CORN MOHRL NOV20",NA,NA,"Scoular Grain   ","Scoular Grain                                                                   ","1209 Industrial Blvd                                                            ","Harrisonville   ","Corn            ","""Harrisonville, MO - 64701.  Phone - 816-3807-153""                              ","CORN MO Harrison"
"493","CORNSLCHRL-Z","CORN MOHRL DEC20",NA,NA,"Scoular Grain   ","Scoular Grain                                                                   ","1209 Industrial Blvd                                                            ","Harrisonville   ","Corn            ","""Harrisonville, MO - 64701.  Phone - 816-3807-153""                              ","CORN MO Harrison"
"494","CORNSLCHRL-F","CORN MOHRL JAN21",NA,NA,"Scoular Grain   ","Scoular Grain                                                                   ","1209 Industrial Blvd                                                            ","Harrisonville   ","Corn            ","""Harrisonville, MO - 64701.  Phone - 816-3807-153""                              ","CORN MO Harrison"
"495","CORNRAFHKP-C1","CORN MOHKP SPOT ","-0.16","2020-02-27","Rose Acre Farms ","Rose Acre Farms                                                                 ","520 Washington St                                                               ","Hawk Point      ","Corn            ","""Hawk Point, MO - 63349.  Phone - 636-3384-875""                                 ","CORN MO HawkPoin"
"496","CORNRAFHKP-G","CORN MOHKP FEB20","-0.16","2020-02-27","Rose Acre Farms ","Rose Acre Farms                                                                 ","520 Washington St                                                               ","Hawk Point      ","Corn            ","""Hawk Point, MO - 63349.  Phone - 636-3384-875""                                 ","CORN MO HawkPoin"
"497","CORNRAFHKP-H","CORN MOHKP MAR20","-0.17","2020-02-27","Rose Acre Farms ","Rose Acre Farms                                                                 ","520 Washington St                                                               ","Hawk Point      ","Corn            ","""Hawk Point, MO - 63349.  Phone - 636-3384-875""                                 ","CORN MO HawkPoin"
"498","CORNRAFHKP-J","CORN MOHKP APR20",NA,NA,"Rose Acre Farms ","Rose Acre Farms                                                                 ","520 Washington St                                                               ","Hawk Point      ","Corn            ","""Hawk Point, MO - 63349.  Phone - 636-3384-875""                                 ","CORN MO HawkPoin"
"499","CORNRAFHKP-K","CORN MOHKP MAY20",NA,NA,"Rose Acre Farms ","Rose Acre Farms                                                                 ","520 Washington St                                                               ","Hawk Point      ","Corn            ","""Hawk Point, MO - 63349.  Phone - 636-3384-875""                                 ","CORN MO HawkPoin"
"500","CORNRAFHKP-M","CORN MOHKP JUN20",NA,NA,"Rose Acre Farms ","Rose Acre Farms                                                                 ","520 Washington St                                                               ","Hawk Point      ","Corn            ","""Hawk Point, MO - 63349.  Phone - 636-3384-875""                                 ","CORN MO HawkPoin"
"501","CORNRAFHKP-N","CORN MOHKP JUL20",NA,NA,"Rose Acre Farms ","Rose Acre Farms                                                                 ","520 Washington St                                                               ","Hawk Point      ","Corn            ","""Hawk Point, MO - 63349.  Phone - 636-3384-875""                                 ","CORN MO HawkPoin"
"502","CORNRAFHKP-Q","CORN MOHKP AUG20",NA,NA,"Rose Acre Farms ","Rose Acre Farms                                                                 ","520 Washington St                                                               ","Hawk Point      ","Corn            ","""Hawk Point, MO - 63349.  Phone - 636-3384-875""                                 ","CORN MO HawkPoin"
"503","CORNRAFHKP-U","CORN MOHKP SEP20",NA,NA,"Rose Acre Farms ","Rose Acre Farms                                                                 ","520 Washington St                                                               ","Hawk Point      ","Corn            ","""Hawk Point, MO - 63349.  Phone - 636-3384-875""                                 ","CORN MO HawkPoin"
"504","CORNRAFHKP-V","CORN MOHKP OCT20",NA,NA,"Rose Acre Farms ","Rose Acre Farms                                                                 ","Hawk Point, MO - 63349                                                          ","Hawk Point      ","Corn            ","""Hawk Point, MO - 63349.  Phone - 636-3384-875""                                 ","CORN MO HawkPoin"
