Instrument,CF_NAME,CF_BID,CF_DATE,GEN_TEXT16,ROW80_1,ROW80_2,GN_TXT16_2,GN_TXT16_4,ROW80_3,Location
SOYBMFAHAM-C1,SOYB MOHAM SPOT ,-0.25,2/27/2020,MFA             ,MFA                                                                             ,313 N. Davis St.                                                                ,Hamilton        ,Soybeans        ,"""Hamilton, MO - 64644.  Phone - 816-5832-128""                                   ",SYBNS MI HAMILTO
SOYBMFAPBG-C1,SOYB MOPBG SPOT ,-0.45,2/27/2020,MFA             ,MFA                                                                             ,-                                                                               ,Pattonsburg     ,Soybeans        ,"""Pattonsburg, MO - 64670.  Phone - 660-6633-221""                                ",SOYB MO Pattonsb
SOYBBCTPRY-C1,SOYB MOPRY SPOT ,-0.15,2/27/2020,Buchheit Agri   ,Buchheit Agri                                                                   ,33 PCR 540                                                                      ,Perryville      ,Soybeans        ,"""Perryville, MO - 63775.  Phone - 573-5474-569""                                 ",SOYB MO Perryvil
SOYBADMRNL-C1,SOYB MORNL SPOT ,-0.05,2/27/2020,ADM             ,ADM                                                                             ,115 Bluff St                                                                    ,Rhineland       ,Soybeans        ,"""Rhineland, MO - 65069.  Phone - 573-2364-377""                                  ",SOYB MO Rhinelan
SOYBMFAUNV-C1,SOYB MOUNV SPOT ,-0.73,2/27/2020,MFA             ,MFA                                                                             ,-                                                                               ,Unionville      ,Soybeans        ,"""Unionville, MO - 63565.  Phone - 660-9472-256""                                 ",SOYB MO Unionvil
SOYBSFSWAC-C1,SOYB MOWAC SPOT ,NA,NA,SeedandFarmSup  ,Seed and Farm Supply                                                            ,375 Main St                                                                     ,Waco            ,Soybeans        ,"""Waco, MO - 64832.  Phone - 417-6426-123""                                       ",SOYB MO Waco    
SOYBCGBSCT-C1,SOYB MOSCT SPOT ,0.14,2/27/2020,Cnslidated Grain,Consolidated Grain and Barge                                                    ,2133 E State Hwy                                                                ,Scott City      ,Soybeans        ,"""Scott City, MO - 63780.  Phone - 573-2642-411""                                 ",SOYB MO Scott Ci
SOYBRHFHRL-C1,SOYB MOHRL SPOT ,-0.35,2/27/2020,RothHerefordFarm,Roth Hereford Farms                                                             ,-                                                                               ,Harrisonville   ,Soybeans        ,"""Harrisonville, MO - 64701.  Phone - 660-6942-569""                              ",SOYB MO Harrison
SOYBMLBCHL-C1,SOYB MOCHL SPOT ,-0.44,2/27/2020,Milbank Mills   ,Milbank Mills                                                                   ,1 N Brunswick St                                                                ,Chillicothe     ,Soybeans        ,"""Chillicothe, MO - 64601.  Phone - 660-6460-183""                                ",SOYB MO Chillico
SOYBRCGDER-C1,SOYB MODER SPOT ,-0.25,2/27/2020,RayCarrollGrain ,Ray Carroll Grain                                                               ,-                                                                               ,Corder          ,Soybeans        ,"""Corder, MO - 64021.  Phone - 660-5422-745""                                     ",SOYB MO Corder  
SOYBGGFALB-C1,SOYB MOALB SPOT ,NA,NA,Gage Fertilizer ,Gage Fertilizer and Grain                                                       ,805 Mill St                                                                     ,Albany          ,Soybeans        ,"""Albany, MO - 64402.  Phone - 660-7263-919""                                     ",SOYB MO Albany  
SOYBGGFBTH-C1,SOYB MOBTH SPOT ,-0.3,2/27/2020,Gage Fertilizer ,Gage Fertilizer and Grain                                                       ,31019 E 260th Ave                                                               ,Bethany         ,Soybeans        ,"""Bethany, MO - 64424.  Phone - 660-4253-733""                                    ",SOYB MO Bethany 
SOYBMFABTH-C1,SOYB MOBTH SPOT ,-0.45,2/27/2020,MFA             ,MFA                                                                             ,1201 N 25th St                                                                  ,Bethany         ,Soybeans        ,"""Bethany, MO - 64424.  Phone - 660-4257-045""                                    ",SOYB MO Bethany 
SOYBLATLRP-C1,SOYB MOLRP SPOT ,-0.2,2/27/2020,Lathrop Feed    ,Lathrop Feed and Grain                                                          ,402 Locust                                                                      ,Lathrop         ,Soybeans        ,"""Lathrop, MO - 64465.  Phone - 816-5284-255""                                    ",SOYB MO Lathrop 
SOYBMFASHE-C1,SOYB MOSHE SPOT ,-0.14,2/27/2020,MFA             ,MFA                                                                             ,200 W Chestnut                                                                  ,Shelbina        ,Soybeans        ,"""Shelbina, MO - 63468.  Phone - 573-5887-847""                                   ",SOYB MO Shelbina
SOYBMFALNC-C1,SOYB MOLNC SPOT ,NA,NA,MFA             ,MFA                                                                             ,Hwy 63 N                                                                        ,Lancaster       ,Soybeans        ,"""Lancaster, MO - 63548.  Phone - 660-4573-728""                                  ",SOYB MO Lancaste
SOYBURSCNT-C1,SOYB MOCNT SPOT ,-0.1,2/27/2020,UrsaFarmersCoop ,Ursa Farmers Coop                                                               ,307 Elm Street                                                                  ,Canton          ,Soybeans        ,"""Canton, MO - 63435.  Phone - 573-2880-311""                                     ",SOYB MO Canton  
SOYBGGFERR-C1,SOYB MOERR SPOT ,NA,NA,Gage Fertilizer ,Gage Fertilizer and Grain                                                       ,105 S. High St                                                                  ,Stanberry       ,Soybeans        ,"""Stanberry, MO - 64489.  Phone - 660-7832-700""                                  ",SOYB MO Stanberr
SOYBGGFAIT-C1,SOYB MOAIT SPOT ,NA,NA,Gage Fertilizer ,Gage Fertilizer and Grain                                                       ,101 Main St                                                                     ,Maitland        ,Soybeans        ,"""Maitland, MO - 64466.  Phone - 660-7832-700""                                   ",SOYB MO Maitland
SOYBGGFRAV-C1,SOYB MORAV SPOT ,NA,NA,Gage Fertilizer ,Gage Fertilizer and Grain                                                       ,113 E Hawk                                                                      ,Ravenwood       ,Soybeans        ,"""Ravenwood, MO - 64479.  Phone - 660-9373-151""                                  ",SOYB MO Ravenwoo
SOYBURSWYL-C1,SOYB MOWYL SPOT ,-0.1,2/27/2020,UrsaFarmersCoop ,Ursa Farmers Coop                                                               ,112 W Des Moines St                                                             ,Wayland         ,Soybeans        ,"""Wayland, MO - 63472.  Phone - 660-7546-417""                                    ",SOYB MO Wayland 
SOYBGGFSTJ-C1,SOYB MOSTJ SPOT ,NA,NA,Gage Fertilizer ,Gage Fertilizer and Grain                                                       ,1901 S 6th St                                                                   ,St Joseph       ,Soybeans        ,"""St Joseph, MO - 64501.  Phone - 816-2328-555""                                  ",SOYB MO St Josep
SOYBSFSLIB-C1,SOYB MOLIB SPOT ,NA,NA,SeedandFarmSup  ,Seed and Farm Supply                                                            ,1246 W Highway K                                                                ,Liberal         ,Soybeans        ,"""Liberal, MO - 64762.  Phone - 417-8436-465""                                    ",SOYB MO Liberal 
SOYBGGFBTH2-C1,SOYB MOBTH SPOT ,-0.3,2/27/2020,Gage Fertilizer ,Gage Fertilizer and Grain                                                       ,19765 West 320th St                                                             ,Bethany         ,Soybeans        ,"""Bethany, MO - 64424.  Phone - 660-4256-343""                                    ",SOYB MO Bethany 
SOYBMWIDRF-C1,SOYB MODRF SPOT ,-0.46,2/27/2020,Midwest Fert Inc,Midwest Fertilizer Inc                                                          ,201 S Walnut                                                                    ,Deerfield       ,Soybeans        ,"""Deerfield, MO - 64741.  Phone - 417-9667-303""                                  ",SOYB MO Deerfiel
SOYBMWIDRZ-C1,SOYB MODRZ SPOT ,-0.45,2/27/2020,Midwest Fert Inc,Midwest Fertilizer Inc                                                          ,123 W. Main                                                                     ,Drexel          ,Soybeans        ,"""Drexel, MO - 64742.  Phone - 816-6572-111""                                     ",SOYB MO Drexel  
SOYBMWIHRW-C1,SOYB MOHRW SPOT ,-0.55,2/27/2020,Midwest Fert Inc,Midwest Fertilizer Inc                                                          ,172 S. Brown St                                                                 ,Harwood         ,Soybeans        ,"""Harwood, MO - 64750.  Phone - 417-4323-193""                                    ",SOYB MO Harwood 
SOYBMWIMEZ-C1,SOYB MOMEZ SPOT ,-0.47,2/27/2020,Midwest Fert Inc,Midwest Fertilizer Inc                                                          ,154 S. Main                                                                     ,Metz            ,Soybeans        ,"""Metz, MO - 64765.  Phone - 417-4843-212""                                       ",SOYB MO Metz    
SOYBADMMTM-C1,SOYB MOMTM SPOT ,-0.05,2/27/2020,ADM             ,ADM                                                                             ,320 Short St                                                                    ,Montgomery City ,Soybeans        ,"""Montgomery City, MO - 63361.  Phone - 573-5642-089""                            ",SOYB MO Montgome
