"","Instrument","CF_NAME","CF_BID","CF_DATE","GEN_TEXT16","ROW80_1","ROW80_2","GN_TXT16_2","GN_TXT16_4","ROW80_3","Location"
"1353","CORNNACVRS-C1","CORN MOVRS SPOT ","0.05","2020-02-19","NutraAg LLC     ","NutraAg LLC                                                                     ","12747 Market Road                                                               ","Versailles      ","Corn            ","""Versailles, MO - 65084.  Phone - 573-3782-800""                                 ","CORN MO Versaill"
"1366","CORNCAEWAV-C1","CORN MOWAV SPOT ","0","2020-02-19","C.Missouri AgriS","Central Missouri AgriService                                                    ","215 Thomas Ln                                                                   ","Waverly         ","Corn            ","""Waverly, MO - 64096.  Phone - 660-4932-218""                                    ","CORN MO Waverly "
"1379","CORNADMSNV-C1","CORN SNOMO SPOT ","-0.15","2020-02-19","ADM             ","ADM                                                                             ","1337 W Elevator St                                                              ","Snover          ","Corn            ","""Snover, MI - 48472.  Phone - 810-6729-221""                                     ","CORN MI Snover  "
"1392","CORNSCGADR-C1","CORN ADRMO SPOT ","0.16","2020-02-19","Scoular Grain   ","Scoular Grain                                                                   ","15 Quail Run                                                                    ","Adrian          ","Corn            ","""Adrian, MO - 64720.  Phone - 816-3807-153""                                     ","CORN MO Adrian  "
"1405","CORNLAWLWN-C1","CORN MOLWN SPOT ",NA,NA,"LawsonAgriServ  ","Lawson Agri Service                                                             ","624 N Penn Ave                                                                  ","Lawson          ","Corn            ","""Lawson, MO - 64062.  Phone - 816-2963-262""                                     ","CORN MO Lawson  "
"1418","CORNMFAALB-C1","CORN MOALB SPOT ","-0.3","2020-02-19","MFA             ","MFA                                                                             ","408 S Birch St                                                                  ","Albany          ","Corn            ","""Albany, MO - 64402.  Phone - 660-7265-216""                                     ","CORN MO Albany  "
"1431","CORNCEVCME-C1","CORN MOCME SPOT ","-0.13","2020-02-19","Cameron Elevator","Cameron Elevator                                                                ","102 S Walnut                                                                    ","Cameron         ","Corn            ","""Cameron, MO - 64429.  Phone - 816-6322-124""                                    ","CORN MO Cameron "
"1444","CORNMFAATI-C1","CORN MOATI SPOT ","-0.3","2020-02-19","MFA             ","MFA                                                                             ","24395 State Hwy 6                                                               ","Gallatin        ","Corn            ","""Gallatin, MO - 64640.  Phone - 660-6633-221""                                   ","CORN MO Gallatin"
"1457","CORNMFAHAM-C1","CORN MOHAM SPOT ","0","2020-02-19","MFA             ","MFA                                                                             ","313 N. Davis St.                                                                ","Hamilton        ","Corn            ","""Hamilton, MO - 64644.  Phone - 816-5832-128""                                   ","CORN MO Hamilton"
"1470","CORNMFAPBG-C1","CORN MOPBG SPOT ","-0.3","2020-02-19","MFA             ","MFA                                                                             ","-                                                                               ","Pattonsburg     ","Corn            ","""Pattonsburg, MO - 64670.  Phone - 660-6633-221""                                ","CORN MO Pattonsb"
"1483","CORNBCTPRY-C1","CORN MOPRY SPOT ","0.1","2020-02-19","Buchheit Agri   ","Buchheit Agri                                                                   ","33 PCR 540                                                                      ","Perryville      ","Corn            ","""Perryville, MO - 63775.  Phone - 573-5474-569""                                 ","CORN MO Perryvil"
"1496","CORNADMRNL-C1","CORN MORNL SPOT ","0","2020-02-19","ADM             ","ADM                                                                             ","115 Bluff St                                                                    ","Rhineland       ","Corn            ","""Rhineland, MO - 65069.  Phone - 573-2364-377""                                  ","CORN MO Rhinelan"
"1509","CORNMFAUNV-C1","CORN MOUNV SPOT ","-0.16","2020-02-19","MFA             ","MFA                                                                             ","-                                                                               ","Unionville      ","Corn            ","""Unionville, MO - 63565.  Phone - 660-9472-256""                                 ","CORN MO Unionvil"
"1522","CORNSFSWAC-C1","CORN MOWAC SPOT ",NA,NA,"SeedandFarmSup  ","Seed and Farm Supply                                                            ","375 Main St                                                                     ","Waco            ","Corn            ","""Waco, MO - 64832.  Phone - 417-6426-123""                                       ","CORN MO Waco    "
"1535","CORNCGBSCT-C1","CORN MOSCT SPOT ","0.04","2020-02-19","Cnslidated Grain","Consolidated Grain and Barge                                                    ","2133 E State Hwy                                                                ","Scott City      ","Corn            ","""Scott City, MO - 63780.  Phone - 573-2642-411""                                 ","CORN MO Scott Ci"
"1548","CORNGPLHPN-C1","CORN MOHPN SPOT ","-0.22","2020-02-19","Green Plains    ","Green Plains                                                                    ","-                                                                               ","Hopkins         ","Corn            ","""Hopkins, MO - 64461.  Phone - 660-7783-331""                                    ","CORN MO Hopkins "
"1561","CORNRHFHRL-C1","CORN MOHRL SPOT ","0.15","2020-02-19","RothHerefordFarm","Roth Hereford Farms                                                             ","-                                                                               ","Harrisonville   ","Corn            ","""Harrisonville, MO - 64701.  Phone - 660-6942-569""                              ","CORN MO Harrison"
"1574","CORNMLBCHL-C1","CORN MOCHL SPOT ","0","2020-02-19","Milbank Mills   ","Milbank Mills                                                                   ","1 N Brunswick St                                                                ","Chillicothe     ","Corn            ","""Chillicothe, MO - 64601.  Phone - 660-6460-183""                                ","CORN MO Chillico"
"1587","CORNRCGDER-C1","CORN MODER SPOT ","0","2020-02-19","RayCarrollGrain ","Ray Carroll Grain                                                               ","-                                                                               ","Corder          ","Corn            ","""Corder, MO - 64021.  Phone - 660-5422-745""                                     ","CORN MO Corder  "
"1600","CORNNMFBIN-C1","CORN MOBIN SPOT ","-0.08","2020-02-19","Nemo Feed       ","Nemo Feed                                                                       ","RR 1 Box 26A                                                                    ","Baring          ","Corn            ","""Baring, MO - 63531.  Phone - 660-8924-070""                                     ","CORN MO Baring  "
"1613","CORNGGFALB-C1","CORN MOALB SPOT ",NA,NA,"Gage Fertilizer ","Gage Fertilizer and Grain                                                       ","805 Mill St                                                                     ","Albany          ","Corn            ","""Albany, MO - 64402.  Phone - 660-7263-919""                                     ","CORN MO Albany  "
"1626","CORNGGFBTH-C1","CORN MOBTH SPOT ","-0.35","2020-02-19","Gage Fertilizer ","Gage Fertilizer and Grain                                                       ","31019 E 260th Ave                                                               ","Bethany         ","Corn            ","""Bethany, MO - 64424.  Phone - 660-4253-733""                                    ","CORN MO Bethany "
"1639","CORNMFABTH-C1","CORN MOBTH SPOT ","-0.3","2020-02-19","MFA             ","MFA                                                                             ","1201 N 25th St                                                                  ","Bethany         ","Corn            ","""Bethany, MO - 64424.  Phone - 660-4257-045""                                    ","CORN MO Bethany "
"1652","CORNLATLRP-C1","CORN MOLRP SPOT ","0.05","2020-02-19","Lathrop Feed    ","Lathrop Feed and Grain                                                          ","402 Locust                                                                      ","Lathrop         ","Corn            ","""Lathrop, MO - 64465.  Phone - 816-5284-255""                                    ","CORN MO Lathrop "
"1665","CORNMFASHE-C1","CORN MOSHE SPOT ","-0.25","2020-02-19","MFA             ","MFA                                                                             ","200 W Chestnut                                                                  ","Shelbina        ","Corn            ","""Shelbina, MO - 63468.  Phone - 573-5887-847""                                   ","CORN MO Shelbina"
"1678","CORNMFALNC-C1","CORN MOLNC SPOT ",NA,NA,"MFA             ","MFA                                                                             ","Hwy 63 N                                                                        ","Lancaster       ","Corn            ","""Lancaster, MO - 63548.  Phone - 660-4573-728""                                  ","CORN MO Lancaste"
"1691","CORNCHNCLE-C1","CORN MOCLE SPOT ","-0.06","2020-02-19","Chinn Feed Mill ","Chinn Feed Mill                                                                 ","1058 Hwy 36                                                                     ","Clarence        ","Corn            ","""Clarence, MO - 63437.  Phone - 660-6993-865""                                   ","CORN MO Clarence"
"1704","CORNURSCNT-C1","CORN MOCNT SPOT ","-0.05","2020-02-19","UrsaFarmersCoop ","Ursa Farmers Coop                                                               ","307 Elm Street                                                                  ","Canton          ","Corn            ","""Canton, MO - 63435.  Phone - 573-2880-311""                                     ","CORN MO Canton  "
"1717","CORNGGFERR-C1","CORN MOERR SPOT ",NA,NA,"Gage Fertilizer ","Gage Fertilizer and Grain                                                       ","105 S. High St                                                                  ","Stanberry       ","Corn            ","""Stanberry, MO - 64489.  Phone - 660-7832-700""                                  ","CORN MO Stanberr"
"1730","CORNGGFAIT-C1","CORN MOAIT SPOT ",NA,NA,"Gage Fertilizer ","Gage Fertilizer and Grain                                                       ","101 Main St                                                                     ","Maitland        ","Corn            ","""Maitland, MO - 64466.  Phone - 660-7832-700""                                   ","CORN MO Maitland"
"1743","CORNGGFRAV-C1","CORN MORAV SPOT ",NA,NA,"Gage Fertilizer ","Gage Fertilizer and Grain                                                       ","113 E Hawk                                                                      ","Ravenwood       ","Corn            ","""Ravenwood, MO - 64479.  Phone - 660-9373-151""                                  ","CORN MO Ravenwoo"
"1756","CORNURSWYL-C1","CORN MOWYL SPOT ","-0.13","2020-02-19","UrsaFarmersCoop ","Ursa Farmers Coop                                                               ","112 W Des Moines St                                                             ","Wayland         ","Corn            ","""Wayland, MO - 63472.  Phone - 660-7546-417""                                    ","CORN MO Wayland "
"1769","CORNGGFSTJ-C1","CORN MOSTJ SPOT ",NA,NA,"Gage Fertilizer ","Gage Fertilizer and Grain                                                       ","1901 S 6th St                                                                   ","St Joseph       ","Corn            ","""St Joseph, MO - 64501.  Phone - 816-2328-555""                                  ","CORN MO St Josep"
"1782","CORNSFSLIB-C1","CORN MOLIB SPOT ",NA,NA,"SeedandFarmSup  ","Seed and Farm Supply                                                            ","1246 W Highway K                                                                ","Liberal         ","Corn            ","""Liberal, MO - 64762.  Phone - 417-8436-465""                                    ","CORN MO Liberal "
"1795","CORNGGFBTH2-C1","CORN MOBTH SPOT ","-0.25","2020-02-19","Gage Fertilizer ","Gage Fertilizer and Grain                                                       ","19765 West 320th St                                                             ","Bethany         ","Corn            ","""Bethany, MO - 64424.  Phone - 660-4256-343""                                    ","CORN MO Bethany "
"1808","CORNMMEMBN-C1","CORN MOMBN SPOT ","0.12","2020-02-03","MidMissouriEnrgy","Mid-Missouri Energy                                                             ","15311 N. Saline 65 Hwy.                                                         ","Malta Bend      ","Corn            ","""Malta Bend, MO - 65339.  Phone - 888-6632-676""                                 ","CORN MO Malta Be"
"1821","CORNMWIDRF-C1","CORN MODRF SPOT ","-0.09","2020-02-19","Midwest Fert Inc","Midwest Fertilizer Inc                                                          ","201 S Walnut                                                                    ","Deerfield       ","Corn            ","""Deerfield, MO - 64741.  Phone - 417-9667-303""                                  ","CORN MO Deerfiel"
"1834","CORNMWIDRZ-C1","CORN MODRZ SPOT ","0.04","2020-02-19","Midwest Fert Inc","Midwest Fertilizer Inc                                                          ","123 W. Main                                                                     ","Drexel          ","Corn            ","""Drexel, MO - 64742.  Phone - 816-6572-111""                                     ","CORN MO Drexel  "
"1847","CORNMWIHRW-C1","CORN MOHRW SPOT ","-0.05","2020-02-19","Midwest Fert Inc","Midwest Fertilizer Inc                                                          ","172 S. Brown St                                                                 ","Harwood         ","Corn            ","""Harwood, MO - 64750.  Phone - 417-4323-193""                                    ","CORN MO Harwood "
"1860","CORNMWIMEZ-C1","CORN MOMEZ SPOT ","-0.1","2020-02-19","Midwest Fert Inc","Midwest Fertilizer Inc                                                          ","154 S. Main                                                                     ","Metz            ","Corn            ","""Metz, MO - 64765.  Phone - 417-4843-212""                                       ","CORN MO Metz    "
"1873","CORNADMMTM-C1","CORN MOMTM SPOT ","-0.02","2020-02-19","ADM             ","ADM                                                                             ","320 Short St                                                                    ","Montgomery City ","Corn            ","""Montgomery City, MO - 63361.  Phone - 573-5642-089""                            ","CORN MO Montgome"
